Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5259002261,GoCards8587,0,147.5,1B LaMonte Wade Jr. 2B Javier Baez 3B Isaac Paredes C Carter Jensen OF Yordan Alvarez OF Jac Caglianone OF Taylor Trammell P Taj Bradley P Walbert Urena SS Jeremy Pena,,Taj Bradley,P,67.48%,24.15
2,5258293699,jjperry2408 (1/3),0,132.5,1B Spencer Torkelson 2B Gleyber Torres 3B Isaac Paredes C Yainer Diaz OF Yordan Alvarez OF Max Clark OF Daulton Varsho P Taj Bradley P Walbert Urena SS Jeremy Pena,,Sonny Gray,P,41.75%,16.65
3,5258982187,Seducer (2/6),0.67,129.2,1B Royce Lewis 2B Oswald Peraza 3B Isaac Paredes C Carter Jensen OF Yordan Alvarez OF Bryce Harper OF Daulton Varsho P Taj Bradley P Framber Valdez SS Jeremy Pena,,Yordan Alvarez,OF,32.52%,17
4,5258892285,Mark000 (2/2),0,126.5,1B Willson Contreras 2B Luis Arraez 3B Isaac Paredes C Adley Rutschman OF Yordan Alvarez OF Daulton Varsho OF Jahmai Jones P Taj Bradley P Walbert Urena SS Jeremy Pena,,Nolan McLean,P,28.64%,15.5
5,5258193284,giantsquid (2/2),0,123.5,1B Kyle Schwarber 2B Luis Arraez 3B Bryson Stott C Jake Rogers OF Yordan Alvarez OF Bryce Harper OF Daulton Varsho P Walbert Urena P Aaron Nola SS Trea Turner,,Carter Jensen,C,28.16%,12
6,5258137141,Firedog50 (6/6),0.67,122.65,1B Jared Young 2B Kody Clemens 3B Isaac Paredes C Carter Jensen OF Yordan Alvarez OF Cam Smith OF Taylor Trammell P Taj Bradley P Nolan McLean SS Jeremy Pena,,Juan Soto,OF,25.24%,4
7,5258359618,Varncass,0.67,122,1B Willson Contreras 2B Jose Altuve 3B Isaac Paredes C Moises Ballesteros OF Yordan Alvarez OF Daulton Varsho OF Jahmai Jones P Sonny Gray P Walbert Urena SS Jeremy Pena,,Walbert Urena,P,23.79%,31.35
8,5258462278,JSAM9995 (2/6),0,120.65,1B LaMonte Wade Jr. 2B Chase Meidroth 3B Miguel Vargas C Yainer Diaz OF Yordan Alvarez OF Daulton Varsho OF Taylor Trammell P Taj Bradley P Nolan McLean SS Corey Seager,,Tommy Pham,OF,22.82%,2
9,5258892284,Mark000 (1/2),0,120.5,1B LaMonte Wade Jr. 2B Luis Arraez 3B Kevin McGonigle C Dillon Dingler OF Riley Greene OF Max Clark OF Zach McKinstry P Taj Bradley P Walbert Urena SS Jeremy Pena,,Framber Valdez,P,21.36%,17.05
10,5258696150,benjdilla,0,116.5,1B Spencer Torkelson 2B Chase Meidroth 3B Isaac Paredes C Yainer Diaz OF Yordan Alvarez OF A.J. Ewing OF Cam Smith P Taj Bradley P Walbert Urena SS Jeremy Pena,,Willson Contreras,1B,20.87%,5
11,5258910874,tmarzy (2/2),0,114.65,1B LaMonte Wade Jr. 2B Jose Altuve 3B Maikel Garcia C Francisco Alvarez OF Yordan Alvarez OF Daulton Varsho OF Taylor Trammell P Taj Bradley P Nolan McLean SS Bobby Witt Jr.,,Bobby Witt Jr.,SS,20.39%,2
12,5258193283,giantsquid (1/2),2.68,113.5,1B Kyle Schwarber 2B Oswald Peraza 3B Bryson Stott C Moises Ballesteros OF Yordan Alvarez OF Mike Trout OF Josh Lowe P Walbert Urena P Aaron Nola SS Zach Neto,,Isaac Paredes,3B,20.39%,5
13,5258897653,blueswin,0.67,109.65,1B Munetaka Murakami 2B Nick Sogard 3B Denzer Guzman C Carter Jensen OF Kyle Schwarber OF Roman Anthony OF Justin Crawford P Walbert Urena P Erick Fedde SS Kevin McGonigle,,Jeremy Pena,SS,19.42%,19
14,5259032375,mlbbatterup,0.67,108.8,1B Spencer Torkelson 2B Gleyber Torres 3B Brooks Lee C Yainer Diaz OF Yordan Alvarez OF Max Clark OF Emmanuel Rodriguez P Taj Bradley P Sonny Gray SS Jeremy Pena,,Riley Greene,OF,19.42%,3
15,5258945087,MillionDollarPoker (3/3),0,107.8,1B Jared Young 2B Chase Meidroth 3B Isaac Paredes C Yainer Diaz OF Yordan Alvarez OF Randal Grichuk OF Daulton Varsho P Taj Bradley P Sonny Gray SS Jeremy Pena,,Francisco Lindor,SS,18.93%,2
16,5258729842,cliff123a,1.34,107.15,1B Josh Bell 2B Kody Clemens 3B Isaac Paredes C Carter Jensen OF Yordan Alvarez OF Daulton Varsho OF Javier Baez P Sonny Gray P Nolan McLean SS Jeremy Pena,,Michael Massey,2B,18.93%,0
17,5259015797,jpkrier (4/4),1.34,106.8,1B Josh Bell 2B Jose Altuve 3B Isaac Paredes C Carter Jensen OF Yordan Alvarez OF Luke Keaschall OF Emmanuel Rodriguez P Taj Bradley P Sonny Gray SS Trevor Story,,Yainer Diaz,C,18.93%,3
18,5258597982,mauricecaples (1/2),0,104.8,1B Willson Contreras 2B Chase Meidroth 3B Isaac Paredes C Adley Rutschman OF Yordan Alvarez OF Roman Anthony OF Tommy Pham P Taj Bradley P Sonny Gray SS Trevor Story,,Jac Caglianone,OF,17.48%,2
18,5258733254,UncleFrosty,0,104.8,1B Munetaka Murakami 2B Nick Sogard 3B Miguel Vargas C Adley Rutschman OF Roman Anthony OF Randal Grichuk OF Jahmai Jones P Taj Bradley P Sonny Gray SS Trevor Story,,Chase Meidroth,2B,17.48%,5
18,5258880220,s5clarey (2/2),0,104.8,1B Willson Contreras 2B Jose Altuve 3B Isaac Paredes C Adley Rutschman OF Wilyer Abreu OF Daulton Varsho OF Jahmai Jones P Taj Bradley P Sonny Gray SS Trevor Story,,Jared Young,1B,16.99%,0
18,5258910828,tmarzy (1/2),0,104.8,1B Brett Baty 2B Chase Meidroth 3B Miguel Vargas C Jake Rogers OF Yordan Alvarez OF Randal Grichuk OF Brenton Doyle P Taj Bradley P Sonny Gray SS Jeremy Pena,,Kody Clemens,2B,16.02%,5
22,5259076792,randyoliver799,0,104.5,1B Spencer Torkelson 2B Michael Massey 3B Kevin McGonigle C Dillon Dingler OF Riley Greene OF Max Clark OF Tommy Pham P Taj Bradley P Walbert Urena SS Jeremy Pena,,Emmanuel Rodriguez,OF,16.02%,0
23,5258658671,mhony19,0,103.85,1B Spencer Torkelson 2B Chase Meidroth 3B Miguel Vargas C Yainer Diaz OF Yordan Alvarez OF Randal Grichuk OF Tommy Pham P Nolan McLean P Walbert Urena SS Jeremy Pena,,Spencer Torkelson,1B,15.05%,5
